team,games_available,win_rate,draw_rate,loss_rate,avg_goals_for,avg_goals_against,avg_goal_diff
Abkhazia,10,0.5,0.4,0.1,1.8,0.7,1.1
Afghanistan,10,0.1,0.2,0.7,0.4,1.5,-1.1
Albania,10,0.5,0.0,0.5,0.9,0.9,0.0
Alderney,10,0.2,0.0,0.8,0.9,3.2,-2.3
Algeria,10,0.7,0.2,0.1,2.1,0.4,1.7
Ambazonia,6,0.0,0.16666666666666666,0.8333333333333334,0.5,2.8333333333333335,-2.3333333333333335
American Samoa,10,0.0,0.1,0.9,0.6,6.6,-6.0
Andalusia,10,0.8,0.2,0.0,2.3,0.9,1.4
Andorra,10,0.1,0.3,0.6,0.5,1.6,-1.1
Angola,10,0.3,0.5,0.2,1.4,1.1,0.3
Anguilla,10,0.2,0.0,0.8,0.8,2.8,-2.0
Antigua and Barbuda,10,0.0,0.2,0.8,0.3,2.2,-1.9
Arameans Suryoye,10,0.5,0.2,0.3,1.6,1.2,0.4
Argentina,10,0.8,0.1,0.1,2.5,0.3,2.2
Armenia,10,0.1,0.3,0.6,0.8,2.5,-1.7
Artsakh,10,0.6,0.1,0.3,3.1,1.3,1.8
Aruba,10,0.4,0.2,0.4,1.5,1.9,-0.4
Asturias,1,1.0,0.0,0.0,3.0,1.0,2.0
Australia,10,0.5,0.1,0.4,1.3,1.0,0.3
Austria,10,0.8,0.1,0.1,2.7,0.4,2.3
Aymara,2,0.0,0.0,1.0,0.5,2.0,-1.5
Azerbaijan,10,0.2,0.2,0.6,1.2,2.1,-0.9
Bahamas,10,0.1,0.1,0.8,1.2,3.9,-2.7
Bahrain,10,0.2,0.1,0.7,0.9,1.7,-0.8
Bangladesh,10,0.3,0.4,0.3,1.2,1.3,-0.1
Barawa,10,0.3,0.0,0.7,1.4,3.8,-2.4
Barbados,10,0.1,0.3,0.6,1.2,2.3,-1.1
Basque Country,10,0.6,0.4,0.0,2.2,0.7,1.5
Belarus,10,0.3,0.3,0.4,1.3,2.1,-0.8
Belgium,10,0.7,0.3,0.0,3.7,0.6,3.1
Belize,10,0.3,0.1,0.6,1.5,2.7,-1.2
Benin,10,0.3,0.1,0.6,0.6,2.0,-1.4
Bermuda,10,0.3,0.1,0.6,1.4,2.6,-1.2
Bhutan,10,0.1,0.1,0.8,0.3,2.4,-2.1
Biafra,3,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
Bolivia,10,0.2,0.1,0.7,0.7,2.1,-1.4
Bonaire,10,0.2,0.0,0.8,0.8,2.2,-1.4
Bosnia and Herzegovina,10,0.3,0.6,0.1,2.0,1.0,1.0
Botswana,10,0.2,0.1,0.7,0.6,1.8,-1.2
Brazil,10,0.6,0.1,0.3,2.5,1.1,1.4
British Virgin Islands,10,0.4,0.2,0.4,1.7,1.5,0.2
Brittany,10,0.4,0.3,0.3,1.3,1.4,-0.1
Brunei,10,0.2,0.1,0.7,0.4,2.4,-2.0
Bulgaria,10,0.3,0.1,0.6,1.6,2.4,-0.8
Burkina Faso,10,0.5,0.2,0.3,1.8,1.3,0.5
Burundi,10,0.2,0.1,0.7,0.6,1.4,-0.8
Cambodia,10,0.3,0.2,0.5,1.7,1.5,0.2
Cameroon,10,0.5,0.2,0.3,1.0,0.7,0.3
Canada,10,0.4,0.5,0.1,1.1,0.4,0.7
Canary Islands,4,0.75,0.0,0.25,2.75,0.75,2.0
Cape Verde,10,0.4,0.4,0.2,1.6,1.2,0.4
Cascadia,7,0.5714285714285714,0.14285714285714285,0.2857142857142857,3.2857142857142856,2.0,1.2857142857142858
Catalonia,10,0.5,0.4,0.1,2.1,1.1,1.0
Cayman Islands,10,0.2,0.1,0.7,0.9,2.4,-1.5
Central African Republic,10,0.2,0.2,0.6,0.7,2.1,-1.4
Central Spain,2,0.5,0.0,0.5,1.0,2.0,-1.0
Chad,10,0.0,0.3,0.7,0.8,2.1,-1.3
Chagos Islands,10,0.1,0.1,0.8,1.5,5.6,-4.1
Chameria,7,0.42857142857142855,0.2857142857142857,0.2857142857142857,2.0,1.1428571428571428,0.8571428571428571
Chechnya,3,0.0,0.3333333333333333,0.6666666666666666,1.0,9.666666666666666,-8.666666666666666
Chile,10,0.5,0.1,0.4,1.4,1.6,-0.2
China,10,0.3,0.2,0.5,0.8,1.2,-0.4
Cilento,1,0.0,0.0,1.0,0.0,2.0,-2.0
Colombia,10,0.7,0.1,0.2,2.5,1.0,1.5
Comoros,10,0.1,0.4,0.5,0.8,1.5,-0.7
Congo,10,0.1,0.2,0.7,0.6,2.3,-1.7
Cook Islands,10,0.2,0.0,0.8,0.5,3.3,-2.8
Corsica,9,0.4444444444444444,0.4444444444444444,0.1111111111111111,1.1111111111111112,0.5555555555555556,0.5555555555555556
Costa Rica,10,0.1,0.5,0.4,1.1,1.9,-0.8
County of Nice,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,2.111111111111111,1.4444444444444444,0.6666666666666666
Crimea,5,0.6,0.0,0.4,1.4,2.2,-0.8
Croatia,10,0.7,0.1,0.2,1.9,1.0,0.9
Cuba,10,0.3,0.2,0.5,1.0,1.9,-0.9
Curaçao,10,0.4,0.3,0.3,1.9,1.4,0.5
Cyprus,10,0.3,0.3,0.4,1.6,1.5,0.1
Czech Republic,10,0.5,0.4,0.1,2.2,0.9,1.3
Czechoslovakia,10,0.4,0.5,0.1,2.1,0.9,1.2
DR Congo,10,0.5,0.3,0.2,1.1,0.5,0.6
Darfur,7,0.0,0.0,1.0,0.14285714285714285,14.142857142857142,-14.0
Denmark,10,0.5,0.4,0.1,2.4,1.0,1.4
Djibouti,10,0.0,0.2,0.8,0.5,2.7,-2.2
Dominica,10,0.1,0.4,0.5,0.7,1.8,-1.1
Dominican Republic,10,0.1,0.4,0.5,1.0,1.6,-0.6
Donetsk PR,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.1666666666666667,0.16666666666666666
Délvidék,2,0.5,0.0,0.5,2.0,1.5,0.5
East Turkestan,5,0.4,0.0,0.6,3.0,3.2,-0.2
Ecuador,10,0.4,0.6,0.0,1.2,0.5,0.7
Egypt,10,0.5,0.3,0.2,1.3,0.6,0.7
El Salvador,10,0.2,0.2,0.6,0.5,1.4,-0.9
Elba Island,2,1.0,0.0,0.0,4.5,1.0,3.5
Ellan Vannin,10,0.4,0.3,0.3,1.6,1.4,0.2
England,10,0.8,0.1,0.1,2.4,0.2,2.2
Equatorial Guinea,10,0.1,0.2,0.7,0.5,1.5,-1.0
